name,currentTribe,cardType,cost,attack,hp,text,officialDbPage,officialDbSearchQuery,manualAnswer
プチさまようよろい,なし,ユニット,1,2,1,死亡時：ピサロナイト1枚を手札に加える,,プチさまようよろい ドラゴンクエストライバルズ 攻略データベース,
プチアーノン,なし,ユニット,1,0,2,攻撃時：攻撃力+1,,プチアーノン ドラゴンクエストライバルズ 攻略データベース,
プチファイター,なし,ユニット,1,1,1,シンクロ：①攻撃力+1、②HP+1、③速攻,,プチファイター ドラゴンクエストライバルズ 攻略データベース,
プチプリースト,なし,ユニット,1,0,2,シンクロ：①攻撃力+1、②HP+1、攻撃力+1、③死亡時：味方リーダーのHPを4回復,,プチプリースト ドラゴンクエストライバルズ 攻略データベース,
プチマージ,なし,ユニット,1,1,2,シンクロ:①攻撃力+1、②死亡時:ランダムな魔法使いの特技カードを手札に1枚加える、③HP+1,,プチマージ ドラゴンクエストライバルズ 攻略データベース,
マーマン,なし,ユニット,1,1,2,れんけい：速攻1/1のとつげきうおを1体出す,,マーマン ドラゴンクエストライバルズ 攻略データベース,
ミノーン,なし,ユニット,1,0,4,攻撃時：前後にいる味方ユニットのHP+1,,ミノーン ドラゴンクエストライバルズ 攻略データベース,
メイジドラキー,なし,ユニット,1,1,2,死亡時:死亡したマスの地形を天啓の神域に変える。 この効果で地形の上書きはできない。,,メイジドラキー ドラゴンクエストライバルズ 攻略データベース,
モコッキー,なし,ユニット,1,0,3,自分のターン終了時このユニットのHPを1回復,,モコッキー ドラゴンクエストライバルズ 攻略データベース,
ランタンこぞう,なし,ユニット,1,2,1,味方リーダーが攻撃する度カードを1枚引く、その後手札を1枚捨てる,,ランタンこぞう ドラゴンクエストライバルズ 攻略データベース,
リカント,なし,ユニット,1,1,2,戦闘以外のダメージで敵ユニットが死亡する度攻撃力+1,,リカント ドラゴンクエストライバルズ 攻略データベース,
リリパット,なし,ユニット,1,1,1,後列から攻撃する場合敵ユニットから反撃を受けない。,,リリパット ドラゴンクエストライバルズ 攻略データベース,
レッドプリン,なし,ユニット,1,1,1,絶好調、このユニットが絶好調状態なら攻撃力+1,,レッドプリン ドラゴンクエストライバルズ 攻略データベース,
ワルぼう,なし,ユニット,1,0,4,お互いのターン終了時両プレイヤーはデッキの一番上のカードを1枚捨てる,,ワルぼう ドラゴンクエストライバルズ 攻略データベース,
共鳴のどんぐりベビー,なし,ユニット,1,3,2,召喚時：味方リーダーのテンションの数と同じ攻撃力になる。死亡時:このユニットの攻撃力が3以上ならカードを1枚引く,,共鳴のどんぐりベビー ドラゴンクエストライバルズ 攻略データベース,
執念のひとくいサーベル,なし,ユニット,1,2,1,死亡時：自分のデッキからコスト4以下の武器カードをランダムに1枚引く,,執念のひとくいサーベル ドラゴンクエストライバルズ 攻略データベース,
炎のメイジドラキー,なし,ユニット,1,1,2,死亡時：正面にいるランダムな敵ユニット1体にこのユニットの攻撃力と同じ数分のダメージ,,炎のメイジドラキー ドラゴンクエストライバルズ 攻略データベース,
犬,なし,ユニット,1,1,1,,,犬 ドラゴンクエストライバルズ 攻略データベース,
魚,なし,ユニット,1,2,2,,,魚 ドラゴンクエストライバルズ 攻略データベース,
あおだけ童子,なし,ユニット,2,2,3,召喚時：このカード以外の自分の手札が6枚以上ある場合攻撃力+2,,あおだけ童子 ドラゴンクエストライバルズ 攻略データベース,
あくましんかん,なし,ユニット,2,2,2,占い：(1)「死亡時：この場所に復活する」を得る(2)におうだちHP+1,,あくましんかん ドラゴンクエストライバルズ 攻略データベース,
あくまのす,なし,ユニット,2,2,3,自分が特技を使う度このユニットのHP+1,,あくまのす ドラゴンクエストライバルズ 攻略データベース,
あくまの書,なし,ユニット,2,2,2,れんけい：自分の手札のコスト2以下のユニットカードを2枚選び、そのコピーを手札に加える。ターン終了時、この効果で加えたカードが手札にあれば破棄する。,,あくまの書 ドラゴンクエストライバルズ 攻略データベース,
あばれザル,なし,ユニット,2,3,2,絶好調、死亡時：このユニットが絶好調状態ならカードを1枚引く,,あばれザル ドラゴンクエストライバルズ 攻略データベース,
あばれ足鳥,なし,ユニット,2,2,2,占い:(1)速攻と貫通を得る、(2)+1/+1,,あばれ足鳥 ドラゴンクエストライバルズ 攻略データベース,
うみうし,なし,ユニット,2,2,1,召喚時&手札から捨てた時：1/2のおおなめくじを1体出す,,うみうし ドラゴンクエストライバルズ 攻略データベース,
おおがらす,なし,ユニット,2,1,3,死亡時：カードを1枚引く,,おおがらす ドラゴンクエストライバルズ 攻略データベース,
おおきづち,なし,ユニット,2,1,3,テンションリンク：このターン中攻撃力+2,,おおきづち ドラゴンクエストライバルズ 攻略データベース,
おおにわとり,なし,ユニット,2,2,1,召喚時：ランダムなコスト2以下の味方建物1つの耐久値+1、味方建物がないなら自分のデッキからコスト2以下の建物カードを1枚引く,,おおにわとり ドラゴンクエストライバルズ 攻略データベース,
おおめだま,なし,ユニット,2,3,2,召喚時:全てのユニットのステルスを解除する。解除した数分+1/+2を得る。,,おおめだま ドラゴンクエストライバルズ 攻略データベース,
おおドラキー,なし,ユニット,2,2,2,ねらい撃ち、召喚時：味方ヒーローがいる場合2/1のドラキーを1体出す,,おおドラキー ドラゴンクエストライバルズ 攻略データベース,
おにびドングリ,なし,ユニット,2,2,2,召喚時:このターン中ユニットが死亡しているなら魔力開放1枚を手札に加える,,おにびドングリ ドラゴンクエストライバルズ 攻略データベース,
おばけキノコ,なし,ユニット,2,2,2,死亡時：ランダムな敵1体を次のターン攻撃不能にする,,おばけキノコ ドラゴンクエストライバルズ 攻略データベース,
おばけパラソル,なし,ユニット,2,2,2,れんけい：敵1体に2ダメージ,,おばけパラソル ドラゴンクエストライバルズ 攻略データベース,
おむつっこり,なし,ユニット,2,3,2,召喚時：HPを2回復,,おむつっこり ドラゴンクエストライバルズ 攻略データベース,
かくれんぼう,なし,ユニット,2,2,2,ステルス、れんけい：カードを1枚引く,,かくれんぼう ドラゴンクエストライバルズ 攻略データベース,
かまいたち,なし,ユニット,2,2,2,召喚時：前列にいる他の全てのユニットに1ダメージ,,かまいたち ドラゴンクエストライバルズ 攻略データベース,
かれくさネズミ,なし,ユニット,2,2,1,味方ヒーローのヒーロースキルが発動する度メタルスライムを1体出す,,かれくさネズミ ドラゴンクエストライバルズ 攻略データベース,
きめんどうし,なし,ユニット,2,2,3,召喚時：自分のデッキの上からカードを2枚見る。1枚をデッキの上に戻し残りをデッキの下に戻す。,,きめんどうし ドラゴンクエストライバルズ 攻略データベース,
きりかぶおばけ,なし,ユニット,2,2,2,召喚時：GET(1)。BET：1ターンに1回のみ、他のランダムな味方ユニットのHP+2。,,きりかぶおばけ ドラゴンクエストライバルズ 攻略データベース,
くしざしツインズ,なし,ユニット,2,1,2,味方リーダーの武器の攻撃力+1,,くしざしツインズ ドラゴンクエストライバルズ 攻略データベース,
くものきょじん,なし,ユニット,2,2,3,死亡時:死亡したマスの地形を宝箱に変える。 この効果で地形の上書きはできない。,,くものきょじん ドラゴンクエストライバルズ 攻略データベース,
くらやみハーピー,なし,ユニット,2,2,2,召喚時：ユニット1体のHPを攻撃力と同じ値にする,,くらやみハーピー ドラゴンクエストライバルズ 攻略データベース,
しびれだんびら,なし,ユニット,2,3,2,召喚時:味方リーダーが装備中の武器に耐久力+1と「攻撃した敵ユニットを次のターン終了時まで攻撃不能にする」を付与する,,しびれだんびら ドラゴンクエストライバルズ 攻略データベース,
しましまキャット,なし,ユニット,2,2,2,召喚時&死亡時：しあわせのたね1枚を手札に加える,,しましまキャット ドラゴンクエストライバルズ 攻略データベース,
じごくのハサミ,なし,ユニット,2,3,2,絶好調、このユニットが絶好調状態なら相手のターン中このユニットが受けるダメージは1になる。,,じごくのハサミ ドラゴンクエストライバルズ 攻略データベース,
じんめんじゅ,なし,ユニット,2,1,4,自分のターン終了時このユニットのHPを1回復,,じんめんじゅ ドラゴンクエストライバルズ 攻略データベース,
たけやりへい,なし,ユニット,2,2,2,召喚時：このターン中ユニット1体の攻撃力+2,,たけやりへい ドラゴンクエストライバルズ 攻略データベース,
たんすミミック,なし,ユニット,2,2,2,召喚時：このカード以外の自分の手札が6枚以上ある場合敵ユニット1体をコストが1低いランダムなユニットに変身させる。,,たんすミミック ドラゴンクエストライバルズ 攻略データベース,
とうろうへい,なし,ユニット,2,3,1,召喚時：このターン中味方リーダーの攻撃力+1,,とうろうへい ドラゴンクエストライバルズ 攻略データベース,
とつげきこぞう,なし,ユニット,2,3,4,正面に敵ユニットが1体もいない場合攻撃できない。,,とつげきこぞう ドラゴンクエストライバルズ 攻略データベース,
とらおとこ,なし,ユニット,2,3,2,召喚時:地形マスに召喚された場合+1/+1,,とらおとこ ドラゴンクエストライバルズ 攻略データベース,
どくやずきん,なし,ユニット,2,2,3,相手がデッキからカードを手札に加える度的リーダーに1ダメージ,,どくやずきん ドラゴンクエストライバルズ 攻略データベース,
どくイモムシ,なし,ユニット,2,2,1,死亡時：ランダムな敵ユニット1体を毒にする,,どくイモムシ ドラゴンクエストライバルズ 攻略データベース,
どんぐりベビー,なし,ユニット,2,2,3,味方リーダーのHPが回復する度カードを1枚引く,,どんぐりベビー ドラゴンクエストライバルズ 攻略データベース,
はえおとこ,なし,ユニット,2,3,3,死亡時：相手リーダーのテンション+1,,はえおとこ ドラゴンクエストライバルズ 攻略データベース,
ひとくいサーベル,なし,ユニット,2,3,2,味方リーダーの攻撃で敵ユニットを倒す度敵リーダーに1ダメージ,,ひとくいサーベル ドラゴンクエストライバルズ 攻略データベース,
ひとつめピエロ,なし,ユニット,2,0,4,テンションリンク：ランダムな敵ユニット1体に1ダメージ,,ひとつめピエロ ドラゴンクエストライバルズ 攻略データベース,
まじゅつし,なし,ユニット,2,2,2,死亡時:死亡したマスの地形を魔法陣に変える。この効果で地形の上書きはできない。,,まじゅつし ドラゴンクエストライバルズ 攻略データベース,
まじょ,なし,ユニット,2,3,2,選択：・魔法使いの特技カードをランダムに1枚手札に加える・魔力の息吹を1枚手札に加える,,まじょ ドラゴンクエストライバルズ 攻略データベース,
まどうし,なし,ユニット,2,1,4,攻撃時：このターン中特技ダメージ+1を得る,,まどうし ドラゴンクエストライバルズ 攻略データベース,
まものつかい,なし,ユニット,2,3,1,死亡時:自分のデッキからパワフルバッジを持つユニットを1枚引く,,まものつかい ドラゴンクエストライバルズ 攻略データベース,
みみずん,なし,ユニット,2,2,3,召喚時：味方建物1つを手札に戻す,,みみずん ドラゴンクエストライバルズ 攻略データベース,
むつでエビ,なし,ユニット,2,2,3,召喚時:相手の手札が3枚以下の場合HP+1とにおうだちを得る,,むつでエビ ドラゴンクエストライバルズ 攻略データベース,
ももんじゃ,なし,ユニット,2,2,2,召喚時：敵ユニット１体につきHP+1,,ももんじゃ ドラゴンクエストライバルズ 攻略データベース,
やみのとうぞく,なし,ユニット,2,3,1,召喚時:相手のデッキのランダムなカードと同じカード1枚を手札に加える,,やみのとうぞく ドラゴンクエストライバルズ 攻略データベース,
よるのていおう,なし,ユニット,2,2,2,テンションリンク：後列にいるランダムな敵ユニット1体を前列のランダムな空きマスに移動させる,,よるのていおう ドラゴンクエストライバルズ 攻略データベース,
わたぼう,なし,ユニット,2,2,2,ターンを終了したプレイヤーはカードを1枚引く,,わたぼう ドラゴンクエストライバルズ 攻略データベース,
アロードッグ,なし,ユニット,2,3,1,召喚時：このカード以外の自分の手札が6枚以上ある場合敵1体に2ダメージ,,アロードッグ ドラゴンクエストライバルズ 攻略データベース,
イエローシックル,なし,ユニット,2,1,4,正面にいるユニットと戦闘をする場合このターン中攻撃力+2,,イエローシックル ドラゴンクエストライバルズ 攻略データベース,
イノブタマン,なし,ユニット,2,2,2,召喚時：このターン中味方ユニット1体に攻撃力+3と「敵リーダーを攻撃できない」を付与する,,イノブタマン ドラゴンクエストライバルズ 攻略データベース,
インプ,なし,ユニット,2,2,3,召喚時：GET(1)。BET：デッキの一番上が偶数コストなら敵リーダーに2ダメージ。このユニットへのBETは1ターン1回,,インプ ドラゴンクエストライバルズ 攻略データベース,
エビルアップル,なし,ユニット,2,2,1,味方のヒーロースキルが発動したターン中手札にあるこのユニットのコスト-2,,エビルアップル ドラゴンクエストライバルズ 攻略データベース,
エビルポット,なし,ユニット,2,1,2,熟練度(0)、おうえん、死亡時:自分のデッキの上7枚から熟練度を持つカードを1枚引く。残りをデッキの下に戻す。(2)攻撃力+1,,エビルポット ドラゴンクエストライバルズ 攻略データベース,
オコボルト,なし,ユニット,2,3,2,におうだち、召喚時：敵リーダーがパワフルバッジを持つ場合+2/+2,,オコボルト ドラゴンクエストライバルズ 攻略データベース,
オベルジーヌ,なし,ユニット,2,2,2,味方ユニットのHPが回復する度+1/+1,,オベルジーヌ ドラゴンクエストライバルズ 攻略データベース,
オーク,なし,ユニット,2,2,3,貫通,,オーク ドラゴンクエストライバルズ 攻略データベース,
カンダタこぶん,なし,ユニット,2,3,2,召喚時：GET(1)。BET：このターン中、次に使用するテンションカードのコストが0になる。,,カンダタこぶん ドラゴンクエストライバルズ 攻略データベース,
キメラ,なし,ユニット,2,3,2,召喚時：ユニット1体の位置を前後に入れ替える,,キメラ ドラゴンクエストライバルズ 攻略データベース,
キラーG,なし,ユニット,2,2,2,貫通、ステルス、死亡時：味方建物があるならカードを1枚引く,,キラーG ドラゴンクエストライバルズ 攻略データベース,
キラークラブ,なし,ユニット,2,2,3,召喚時:味方リーダーが装備中の武器に「この武器で攻撃した時の反撃ダメージ-2」を付与する,,キラークラブ ドラゴンクエストライバルズ 攻略データベース,
キラーグース,なし,ユニット,2,3,3,おうえん、召喚時：相手は50%の確率でカードを1枚引く,,キラーグース ドラゴンクエストライバルズ 攻略データベース,
ギズモ,なし,ユニット,2,2,2,召喚時：GET(1) BET:正面にいる全ての敵ユニットに1ダメージ,,ギズモ ドラゴンクエストライバルズ 攻略データベース,
クックルー,なし,ユニット,2,3,2,死亡時：道具カード1枚を手札に加える,,クックルー ドラゴンクエストライバルズ 攻略データベース,
グリズリー,なし,ユニット,2,3,2,召喚時:味方リーダーのテンションの数以下の攻撃力を持つ前列の味方ユニット1体を相手の手札に戻す。,,グリズリー ドラゴンクエストライバルズ 攻略データベース,
グリーンシザー,なし,ユニット,2,1,4,正面にいるユニットと戦闘をする場合このターン攻撃力+3、味方冒険者が場に出た後そのユニットの前後に移動する,,グリーンシザー ドラゴンクエストライバルズ 攻略データベース,
ケダモン,なし,ユニット,2,1,3,速攻、召喚時:このターン中味方リーダーが攻撃力+1を得る,,ケダモン ドラゴンクエストライバルズ 攻略データベース,
ケンタラウス,なし,ユニット,2,2,3,召喚時：味方ヒーローがいる場合このターン中味方リーダーは攻撃力+1を得る,,ケンタラウス ドラゴンクエストライバルズ 攻略データベース,
ゴールドタヌ,なし,ユニット,2,2,2,召喚時:宝の地図1枚を手札に加える,,ゴールドタヌ ドラゴンクエストライバルズ 攻略データベース,
サイおとこ,なし,ユニット,2,1,4,におうだち,,サイおとこ ドラゴンクエストライバルズ 攻略データベース,
サタンパピー,なし,ユニット,2,2,1,召喚時:このターン中ユニットが死亡しているなら敵ユニット1体を-2/-2,,サタンパピー ドラゴンクエストライバルズ 攻略データベース,
サボテンボール,なし,ユニット,2,3,1,テンションリンク：お互いのリーダーに1ダメージ,,サボテンボール ドラゴンクエストライバルズ 攻略データベース,
サンダーラット,なし,ユニット,2,1,4,テンションリンク：敵リーダーに1ダメージ,,サンダーラット ドラゴンクエストライバルズ 攻略データベース,
サーベルきつね,なし,ユニット,2,2,2,上下にいるユニットの攻撃力+1,,サーベルきつね ドラゴンクエストライバルズ 攻略データベース,
ザイル,なし,ユニット,2,3,2,死亡時&手札から捨てた時:はるかぜのフルートを1枚手札に加える,,ザイル ドラゴンクエストライバルズ 攻略データベース,
ジャイアントバット,なし,ユニット,2,2,2,召喚時：このユニットにさくせんを出す。自分のターン中このユニットが戦闘ダメージを与えた敵を次のターン終了時まで攻撃不能にする,,ジャイアントバット ドラゴンクエストライバルズ 攻略データベース,
ジュエルン,なし,ユニット,2,1,1,召喚時：自分のデッキからコスト3以下の建物カードを1枚引く。そのカードのコストを-1,,ジュエルン ドラゴンクエストライバルズ 攻略データベース,
スキッパー,なし,ユニット,2,2,2,テンションリンク：デッキの一番上のカードのコストが奇数ならそのカードを手札に加える。,,スキッパー ドラゴンクエストライバルズ 攻略データベース,
スノーベビー,なし,ユニット,2,3,2,召喚時：ダメージを受けている敵ユニット1体に2ダメージ,,スノーベビー ドラゴンクエストライバルズ 攻略データベース,
スピンサタン,なし,ユニット,2,3,2,召喚時:自分が次に使用する占いカードは発動する効果を選べる 味方リーダーが必中モードの場合手札のこのカードのコスト-1,,スピンサタン ドラゴンクエストライバルズ 攻略データベース,
ズッキーニャ,なし,ユニット,2,2,2,召喚時:召喚されたマスの地形を刃の紋章に変える。この効果で地形の上書きはできない。,,ズッキーニャ ドラゴンクエストライバルズ 攻略データベース,
タイガーランス,なし,ユニット,2,3,3,召喚時：指定の敵マスに1/1のスライムを1体出す,,タイガーランス ドラゴンクエストライバルズ 攻略データベース,
タイプG,なし,ユニット,2,1,1,スキルブースト:+1/+1、自身の攻撃力にあわせて場にいる間、以下の効果を得る。 攻撃力3以上:貫通、攻撃力5以上:ねらい撃ち、攻撃力10以上:2回攻撃,,タイプG ドラゴンクエストライバルズ 攻略データベース,
ダックカイト,なし,ユニット,2,3,4,召喚時:召喚されたマスの地形をバリア床に変える。 この効果は地形の上書きはできない。,,ダックカイト ドラゴンクエストライバルズ 攻略データベース,
ダンスニードル,なし,ユニット,2,1,4,貫通、貫通を持つ他の全ての味方ユニットの攻撃力+1,,ダンスニードル ドラゴンクエストライバルズ 攻略データベース,
ダークプラネット,なし,ユニット,2,3,2,選択：・ダンジョンではない敵建物１つの耐久値を2にする。・ダンジョンではない敵建物1つの耐久値を-2,,ダークプラネット ドラゴンクエストライバルズ 攻略データベース,
ダークホビット,なし,ユニット,2,2,3,熟練度(0)、(3)におうだち+1/+1,,ダークホビット ドラゴンクエストライバルズ 攻略データベース,
テンツク,なし,ユニット,2,2,3,死亡時:死亡したマスの地形を祝福の聖域に変える。 この効果で地形の上書きはできない。,,テンツク ドラゴンクエストライバルズ 攻略データベース,
デスフラッター,なし,ユニット,2,1,2,召喚時：自分のデッキの上からカード4枚を見る。ユニットカード以外のカードを1枚選び、それを引く。残りをデッキの下に戻す,,デスフラッター ドラゴンクエストライバルズ 攻略データベース,
デビルパピヨン,なし,ユニット,2,2,2,召喚時：GET(1)。BET：ランダムな敵ユニット1体を毒にする,,デビルパピヨン ドラゴンクエストライバルズ 攻略データベース,
トンネラー,なし,ユニット,2,1,3,におうだち、れんけい：+1/+1,,トンネラー ドラゴンクエストライバルズ 攻略データベース,
ドロヌーバ,なし,ユニット,2,2,3,ステルス,,ドロヌーバ ドラゴンクエストライバルズ 攻略データベース,
ナスビナーラ,なし,ユニット,2,2,3,召喚時：ユニット１体を縦1列の中央に移動させる,,ナスビナーラ ドラゴンクエストライバルズ 攻略データベース,
パペットこぞう,なし,ユニット,2,3,2,占い：(1)味方リーダーのテンション-1、(2)+1/+1を得る,,パペットこぞう ドラゴンクエストライバルズ 攻略データベース,
ヒポせんし,なし,ユニット,2,2,3,敵リーダーのテンションが上がる度攻撃力+1,,ヒポせんし ドラゴンクエストライバルズ 攻略データベース,
ヒートギズモ,なし,ユニット,2,2,2,前列召喚時：正面にいる敵ユニットに2ダメージ、後列召喚時：味方リーダーのテンション+1,,ヒートギズモ ドラゴンクエストライバルズ 攻略データベース,
ビッグスロース,なし,ユニット,2,1,1,自分がコスト1以下の手札を使う度+1/+1,,ビッグスロース ドラゴンクエストライバルズ 攻略データベース,
ビッグハンマー,なし,ユニット,2,2,3,召喚時：自分のデッキから建物カードを1枚手札に加える。その後自分の手札から1枚選んで捨てる,,ビッグハンマー ドラゴンクエストライバルズ 攻略データベース,
ピクシー,なし,ユニット,2,1,4,ねらい撃ち,,ピクシー ドラゴンクエストライバルズ 攻略データベース,
ピサロナイト,なし,ユニット,2,3,2,,,ピサロナイト ドラゴンクエストライバルズ 攻略データベース,
ピンクモーモン,なし,ユニット,2,2,3,このユニットの攻撃で与えたダメージ分味方リーダーのHPを回復する,,ピンクモーモン ドラゴンクエストライバルズ 攻略データベース,
フレイム,なし,ユニット,2,1,1,前列にいる場合攻撃力+3,,フレイム ドラゴンクエストライバルズ 攻略データベース,
ブチュチュンパ,なし,ユニット,2,3,2,召喚時：全ての敵ユニットは絶好調状態ではなくなる。,,ブチュチュンパ ドラゴンクエストライバルズ 攻略データベース,
ブラックマンティス,なし,ユニット,2,1,4,におうだち、召喚時：敵ユニット1体の攻撃力-1,,ブラックマンティス ドラゴンクエストライバルズ 攻略データベース,
ブラッドソード,なし,ユニット,2,2,2,死亡時：味方ヒーローがいる場合自分のデッキからコスト2以下の武器を装備する。,,ブラッドソード ドラゴンクエストライバルズ 攻略データベース,
プオーン,なし,ユニット,2,3,2,召喚時：自分のデッキからコストが最も高い武闘家のカードを手札に1枚加える,,プオーン ドラゴンクエストライバルズ 攻略データベース,
プチヒーロー,なし,ユニット,2,2,2,シンクロ:①HP+1、②攻撃力+1、③HP+1,,プチヒーロー ドラゴンクエストライバルズ 攻略データベース,
プテラノドン,なし,ユニット,2,2,1,死亡時：自分のデッキからコストが4以下の冒険者カードをランダムに1枚手札に加える,,プテラノドン ドラゴンクエストライバルズ 攻略データベース,
プラズママウス,なし,ユニット,2,3,2,味方ヒーローがいる場合速攻を得る,,プラズママウス ドラゴンクエストライバルズ 攻略データベース,
プークプック,なし,ユニット,2,1,3,前後にいる味方ユニットの攻撃力+1,,プークプック ドラゴンクエストライバルズ 攻略データベース,
ヘルコンドル,なし,ユニット,2,3,1,ねらい撃ち,,ヘルコンドル ドラゴンクエストライバルズ 攻略データベース,
ヘルホーネット,なし,ユニット,2,2,2,召喚時：味方ユニット1体の攻撃力+1,,ヘルホーネット ドラゴンクエストライバルズ 攻略データベース,
ベビーサタン,なし,ユニット,2,3,2,テンションリンク：自分と相手の最大MPが1増える,,ベビーサタン ドラゴンクエストライバルズ 攻略データベース,
ベビーパンサー,なし,ユニット,2,2,2,おうえん,,ベビーパンサー ドラゴンクエストライバルズ 攻略データベース,
ベロニャーゴ,なし,ユニット,2,1,3,れんけい：HP+1、味方リーダーが攻撃した後1/1のプリスニャンを1体出す,,ベロニャーゴ ドラゴンクエストライバルズ 攻略データベース,
ポンポコだぬき,なし,ユニット,2,3,2,死亡時：味方リーダーのテンション+1,,ポンポコだぬき ドラゴンクエストライバルズ 攻略データベース,
マギール,なし,ユニット,2,2,3,味方建物があるなら手札のこのカードのコスト-1,,マギール ドラゴンクエストライバルズ 攻略データベース,
マクロベータ,なし,ユニット,2,2,3,れんけい:縦1列にいる全てのユニットに1ダメージ,,マクロベータ ドラゴンクエストライバルズ 攻略データベース,
マジックフライ,なし,ユニット,2,1,1,死亡時：自分のデッキから特技カードを1枚引く,,マジックフライ ドラゴンクエストライバルズ 攻略データベース,
マタンゴ,なし,ユニット,2,2,3,召喚時：敵リーダーが装備中のコスト4以下の武器を破壊する。,,マタンゴ ドラゴンクエストライバルズ 攻略データベース,
マッドプラント,なし,ユニット,2,2,3,召喚時：味方ユニット1体を次の相手のターン中ステルスにする,,マッドプラント ドラゴンクエストライバルズ 攻略データベース,
マドルーパー,なし,ユニット,2,2,2,このユニットは戦闘ダメージのみ受ける,,マドルーパー ドラゴンクエストライバルズ 攻略データベース,
マヒャドフライ,なし,ユニット,2,1,4,敵リーダーにダメージを与えた時相手の手札にうまのふんを加える。,,マヒャドフライ ドラゴンクエストライバルズ 攻略データベース,
マーブルン,なし,ユニット,2,2,1,召喚時：指定の味方マスに1/1のプリズニャンを1体出す,,マーブルン ドラゴンクエストライバルズ 攻略データベース,
ミステリドール,なし,ユニット,2,2,3,召喚時:前後のマスにこのユニットがいる地形をコピーする。 この効果で地形の上書きはできない。,,ミステリドール ドラゴンクエストライバルズ 攻略データベース,
メイジももんじゃ,なし,ユニット,2,1,2,召喚時：味方ヒーローがいる場合ヒャドを手札に加える,,メイジももんじゃ ドラゴンクエストライバルズ 攻略データベース,
メイジキメラ,なし,ユニット,2,2,3,自分が特技を使う度攻撃力+1,,メイジキメラ ドラゴンクエストライバルズ 攻略データベース,
