name,cost,tribe,text,status,v239_fix
クラーゴン,6,なし,BET：このターン中に未発動の効果からランダムに1つ発動する。①全ての敵に1ダメージ ②ランダムな敵1体に2ダメージ ③敵リーダーに3ダメージ。全て発動済みなら何も起こらない。,existing_code_path_confirmed,
ドルマドン,7,なし,敵1体に10ダメージ,existing_code_path_confirmed,
竜将ドラゴンガイア,6,ドラゴン,召喚時：手札にコスト3以上の特技カードがあるなら縦一列にいる全ての敵ユニットに2ダメージ、それらのユニットを次のターン終了時まで攻撃不能にする,existing_code_path_confirmed,
ドラゴンバゲージ,7,ドラゴン,におうだち、自分のターン終了時味方リーダーのテンション+1,existing_code_path_confirmed,
グレイナル,7,ドラゴン,召喚時：竜戦士の装具を手札に加える。ドラゴン系の味方ユニットが攻撃して敵ユニットを倒す度味方リーダーのテンション+1,existing_code_path_confirmed,
ガメゴンレジェンド,7,ドラゴン,におうだち、召喚時：ランダムな敵1体に1ダメージ。これを3回繰り返す。スキルブースト：繰り返す回数+1,existing_code_path_confirmed,
まだらイチョウ,6,なし,BET：1/2のブラックタヌーを1体場に出す。このBETが3回発動する度に、このユニットを除く全ての味方ユニットを+1/+1する。カウントはターンを跨いで継続する。,existing_code_path_confirmed,
スラリンガル,7,なし,貫通、選択:+1/+1と速攻とこのターン中「敵リーダーを攻撃できずダメージを受けない」を得る。・このターンの終了時攻撃力とHPが2倍になる,existing_code_path_confirmed,
ジュリアンテ,7,なし,占い：(1)他の全ての味方ユニット+2/+2、(2)ランダムな敵3体を次のターン攻撃不能にする,existing_code_path_confirmed,
マーニャ,6,冒険者,召喚時:デッキの1版上のカードのコストが4以上ならドラゴラムを使う。 4以下ならそのカードのコストを0にして手札に加える。,existing_code_path_confirmed,
ダースドラゴン,7,ドラゴン,効果なし,basic_keyword_or_no_effect_confirmed,
あくまのカガミ,6,なし,召喚時：自分のデッキにある5コスト以下の冒険者と同じユニット1体ヲバに出しこのターン中速攻と「ターン終了時にこのユニットを自分のデッキに混ぜる」を付与する,existing_code_path_confirmed,
キラーマシン2,6,なし,2回攻撃、召喚時:このユニットにさくせんを出す。耐戦中に味方建物が3つ以上出ていたら、代わりに2回さくせんを出し、出たさくせんの効果全てを得る,existing_code_path_confirmed,
ホメロス,6,なし,召喚時:HPが2以下の敵ユニット1体を味方にする,existing_code_path_confirmed,
黄金兵長,7,なし,召喚時：GET(1)。攻撃時：敵リーダーに味方の場のピサロナイトの数と同じダメージ。BET：ピサロナイトを1体場に出す。,existing_code_path_confirmed,
ワイバーンドッグ,7,ドラゴン,召喚時：ダメージを受けている全ての敵ユニットに3ダメージ、れんけい：さらにダメージを受けていない全てのユニットに1ダメージ,existing_code_path_confirmed,
ヒドラ,6,なし,このユニットは子の耐戦中に自分の手札から捨てたカードの枚数により以下の効果を得る。2枚以上:貫通、4枚以上:速攻、6枚以上:2回攻撃,v239_hardened,対戦中に手札から捨てた枚数で貫通/速攻/2回攻撃を再評価するフック追加
ドラゴンブッシュ,6,,特技ダメージ+1。召喚時：自分の場か手札に攻撃力4以上の他のドラゴン系がいるなら特技ダメージ+1を得る。,existing_code_path_confirmed,
