id,name,cost,cardType,classes,tribes,deckBuildable,text,triggers,appNameOccurrences,genericCoverage,complexScore,risk,officialUrl
card_fe1e824d,戦車のタロット,2,特技,占い師,,True,占い:①全てのユニットに1ダメージ、②ランダムな敵1体に3ダメージ,占い|ダメージ|ランダム,0,fortune_engine,3,HIGH_COMPLEX_NO_EXPLICIT_NAME,https://gameconductor.com/dqrivals/c/d/568
card_23d5d5f7,力のタロット,2,特技,占い師,,True,占い：①全ての味方ユニットの攻撃力+1、②ランダムな味方ユニット1体を+3/+2,占い|ランダム,0,fortune_engine,3,HIGH_COMPLEX_NO_EXPLICIT_NAME,https://gameconductor.com/dqrivals/c/d/668
card_c0de3c42,インプ,2,ユニット,占い師,なし,True,召喚時：GET(1)。BET：デッキの一番上が偶数コストなら敵リーダーに2ダメージ。このユニットへのBETは1ターン1回,召喚時|BET|GET|ダメージ|コスト,14,bet_engine+get_engine,5,MEDIUM_COMPLEX_IMPLEMENTED_RECHECK,https://gameconductor.com/dqrivals/c/d/1162
card_ca4d3bc7,ルバンカ,4,ユニット,占い師,なし,True,におうだち。召喚時：デッキの一番上が偶数コストならGET(2)。BET：HP+1,召喚時|BET|GET|コスト,9,bet_engine+get_engine+keyword,5,MEDIUM_COMPLEX_IMPLEMENTED_RECHECK,https://gameconductor.com/dqrivals/c/d/1164
card_d8cdcd29,賢者ルシェンダ,8,ユニット,占い師,冒険者,True,召喚時：GET(1)。BET：自分の山札の1番上のカードが偶数コストのユニットなら場に出す。場が埋まっている場合は不発。それ以外なら手札に加える。,召喚時|BET|GET|手札に加える|場に出す|コスト,7,bet_engine+get_engine,6,MEDIUM_COMPLEX_IMPLEMENTED_RECHECK,https://gameconductor.com/dqrivals/c/d/1205
card_51d3e2e1,イブール,5,ユニット,占い師,ドラゴン,True,相手プレイヤーの手札の特技カードのコスト+1、召喚時&攻撃時:相手のデッキの一番上にイブールの本が一枚置かれる,召喚時|攻撃時|コスト,23,,5,MEDIUM_COMPLEX_IMPLEMENTED_RECHECK,https://gameconductor.com/dqrivals/c/d/1392
card_b1863a12,ドラゴビショップ,5,ユニット,占い師,ドラゴン,True,召喚時:カードを2枚引く、このターン中に使った占いカードの枚数分デッキと手札にあるこのカードのコスト-1,召喚時|占い|コスト,4,fortune_engine,5,MEDIUM_COMPLEX_IMPLEMENTED_RECHECK,https://gameconductor.com/dqrivals/c/d/1537
card_84e08b43,黄金兵長,7,ユニット,魔剣士,なし,True,召喚時：GET(1)。攻撃時：敵リーダーに味方の場のピサロナイトの数と同じダメージ。BET：ピサロナイトを1体場に出す。,召喚時|攻撃時|BET|GET|場に出す|ダメージ,8,bet_engine+get_engine,5,MEDIUM_COMPLEX_IMPLEMENTED_RECHECK,https://gameconductor.com/dqrivals/c/d/1208
custom_4a95b07c8d,スライム系のたまご,0,特技,共通,,False,使用不可。2ターン後、スライム系のランダムなユニットカードに変身し+1/+1を得る。,変身|ランダム,0,,2,HIGH_COMPLEX_NO_EXPLICIT_NAME,
custom_8125acac2c,ゾンビ系のたまご,0,特技,共通,,False,使用不可。2ターン後、ゾンビ系のランダムなユニットカードに変身し+1/+1を得る。,変身|ランダム,0,,2,HIGH_COMPLEX_NO_EXPLICIT_NAME,
custom_79eef9a433,ドラゴン系のたまご,0,特技,共通,,False,使用不可。2ターン後、ドラゴン系のランダムなユニットカードに変身し+1/+1を得る。,変身|ランダム,0,,2,HIGH_COMPLEX_NO_EXPLICIT_NAME,
custom_474cae76de,魔王系のたまご,0,特技,共通,,False,使用不可。2ターン後、魔王系のランダムなユニットカードに変身し+1/+1を得る。,変身|ランダム,0,,2,HIGH_COMPLEX_NO_EXPLICIT_NAME,
custom_8dfffcaa00,英雄系のたまご,0,特技,共通,,False,使用不可。2ターン後、英雄系のランダムなユニットカードに変身し+1/+1を得る。,変身|ランダム,0,,2,HIGH_COMPLEX_NO_EXPLICIT_NAME,
virtual_il_luca_冒険者_egg_v210,冒険者系のたまご,0,特技,共通,,False,使用不可。2ターン後、冒険者系のランダムなユニットカードに変身し+1/+1を得る。,変身|ランダム,0,,2,HIGH_COMPLEX_NO_EXPLICIT_NAME,
