card,version,status,note
ゴルゴンゾーラ,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
メタッツ,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ミステリピラー,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
グレンデル,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
スーパーテンツク,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
マッドオックス,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
パールスライム,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
クラウンヘッド,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
いどまじん,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
運命の天使ラヴィエル,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ザバン,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
マペットマン,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
インキュバス,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
シャイニング,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
セージももんじゃ,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
スピニー,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
フウラ,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
デザートデーモン,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
メイデンドール,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
忠義の騎士アドン,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
群れなすよるのていおう,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
かいぞくウーパー,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
強欲なミミック,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
スライムナイト,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ミミック,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
フェアリードラゴン,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ふくまねき,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ドラゴン,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
メガザルロック,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ぼうれい剣士,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ぶちスライム,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ベビーマジシャン,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
タップデビル,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
まおうのランプ,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
キッシム,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ツボック,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ナイトウォーカー,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
シーライオン,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
豊作のじんめんじゅ,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ヤンガス,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
フォズ大神官,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
青い闘魂スラぼう,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
闇のクリスタル,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ツンドラキー,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
じんめんガエル,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
アルゴングレート,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ましょうぐも,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
さまようたましい,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
アルケミストン,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
ゲルダ,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
韋駄天のドラまさ,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
女盗賊ゲルダ,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
グリゴンダンス,v225,implemented_or_reinforced,コスト3ランダム候補 batch2。召喚/場に出すの区別を維持し、召喚時は召喚時のみ、トークン生成は場に出す扱い。
