No,カード名,存在,コスト,攻撃力,HP,職業,系統,効果テキスト,コード上の見立て,次の扱い
56,イブール,OK,5,5,5,占い師,ドラゴン,相手プレイヤーの手札の特技カードのコスト+1、召喚時&攻撃時:相手のデッキの一番上にイブールの本が一枚置かれる,専用/名前あり,要挙動確認
57,フーセンドラゴン,OK,2,1,3,僧侶,ドラゴン,におうだち,専用/名前あり,要挙動確認
58,立ち塞がるドラゴン,OK,5,4,7,盗賊,ドラゴン,におうだち、超貫通、召喚時：カードを2枚引いた後自分の手札から2枚選んで捨てる。死亡時：相手の手札にコスト2の王女の愛を1枚加える,専用/名前あり,要挙動確認
59,パピラス,OK,1,2,1,共通,ドラゴン,れんけい：ランダムなコスト1〜3の自分の職業の特技カードを1枚手札に加える。,専用/名前あり,要挙動確認
60,アルゴングレート,OK,3,4,4,共通,ドラゴン,正面に敵ユニットがいる場合攻撃できない,専用/名前あり,要確認
61,りゅうはかせ,OK,4,3,2,共通,ドラゴン,自分が使用するコスト3以上の特技のダメージを+2する,専用/名前あり,要確認
62,テラノザース,OK,3,4,3,戦士,ドラゴン,召喚時:自分のデッキに特技カードがないならカードを1枚引く,専用/名前あり,要挙動確認
63,りゅうせんし,OK,4,3,5,戦士,ドラゴン,召喚時：速攻と「このターン中敵リーダーを攻撃できない」を得る。このユニットの攻撃は味方リーダーの攻撃としても扱う,専用/名前あり,要挙動確認
64,ゴールデンドラゴン,OK,5,5,3,戦士,ドラゴン,この対戦中に味方リーダーが攻撃した回数分HP+1,専用/名前あり,要確認
65,オリハルゴン,OK,7,6,7,戦士,ドラゴン,自分のターン中味方リーダーは攻撃力+3を得る。前列にいる場合味方リーダーが受けるダメージ-2,専用/名前あり,要確認
66,デンタザウルス,OK,3,2,4,魔法使い,ドラゴン,におうだち、召喚時：手札にコスト3以上の特技カードがあるならHP+2,専用/名前あり,要挙動確認
67,ヘルジュラシック,OK,4,4,5,魔法使い,ドラゴン,敵ユニットが2体以上いるなら手札にあるこのカードのコスト-1,専用/名前あり,要確認
68,スノードラゴン,OK,5,4,3,魔法使い,ドラゴン,召喚時：コストが4、5、6の3種類の特技カードの中から1枚を選び手札に加える。自分のデッキのメラ系の特技カードが無いなら手札にあるこのカードのコスト-2,専用/名前あり,要挙動確認
69,竜将ドラゴンガイア,OK,6,6,6,魔法使い,ドラゴン,召喚時：手札にコスト3以上の特技カードがあるなら縦一列にいる全ての敵ユニットに2ダメージ、それらのユニットを次のターン終了時まで攻撃不能にする,専用/名前あり,要挙動確認
70,イエローファット,OK,5,5,6,武闘家,ドラゴン,召喚時：味方リーダーのテンションを全て消費する。消費した数と同じだけ速攻1/1のファーラットを出す,専用/名前あり,要挙動確認
71,ガメゴンレジェンド,OK,7,5,7,僧侶,ドラゴン,におうだち、召喚時：ランダムな敵1体に1ダメージ。これを3回繰り返す。スキルブースト：繰り返す回数+1,専用/名前あり,要挙動確認
72,ドラゴビショップ,OK,5,3,4,占い師,ドラゴン,召喚時:カードを2枚引く、このターン中に使った占いカードの枚数分デッキと手札にあるこのカードのコスト-1,専用/名前あり,要挙動確認
73,怪竜やまたのおろち,OK,5,3,6,魔剣士,ドラゴン,召喚時:残りMPを全て消費する。消費したMPの数分攻撃力+1、その後 このユニットの攻撃力と同じ数分のダメージをランダムな敵ユニットに割り振る,専用/名前あり,要挙動確認
