name,cost,tribe,triggers,status,text
バルザック,7,なし,貫通,basic_keyword_or_no_text,貫通：このユニットの攻撃で敵ユニットを倒す度+2/+2
りゅうおう,7,魔王,死亡時,existing_name_seen_needs_runtime_check,死亡時：正体をあらわす
ゆうれいせんちょう,6,ゾンビ,死亡時,v238_pass2_implemented_or_hooked,死亡時：味方リーダーのテンションを全て消費する。 消費した数と同じだけ2/2のシードッグを出す。
キングミミック,6,なし,死亡時,v238_pass2_implemented_or_hooked,死亡時：相手はランダムなレジェンドレアカードを手札に1枚加える
デンデン竜,6,ドラゴン,におうだち,existing_name_seen_needs_runtime_check,におうだち、おうえん
ジャミラス,7,魔王,召喚時,v238_pass2_implemented_or_hooked,召喚時:指定のマスの地形をしあわせの国に変える。 この効果で地形の上書きはできない。
まかいじゅ,6,なし,,basic_keyword_or_no_text,自分のターン終了時このユニットのHPを2回復する。
ダゴン,7,なし,2回攻撃,basic_keyword_or_no_text,2回攻撃
ファンキーバード,6,なし,,basic_keyword_or_no_text,おうえん、味方リーダーのテンションカードはコストが0になる。
やつざきアニマル,7,なし,,basic_keyword_or_no_text,対戦中に自分に使った特技カードの枚数分コスト-1
ブラックドラゴン,7,ドラゴン,召喚時,existing_name_seen_needs_runtime_check,召喚時:ランダムな敵ユニット1体に1ダメージ。このカードを除く自分の場と手札にいるドラゴン系の数の3倍分与えるダメージが増える。
マザーウッド,6,なし,テンションリンク/速攻,v238_pass2_implemented_or_hooked,テンションリンク：前後にいる味方ユニットに速攻を付与する。
ジャックポッター,7,なし,召喚時/スキルブースト,v237_pass1_implemented,召喚時：両プレイヤーはカードを1枚引く。スキルブースト：+1枚
屍騎軍王ゾルデ,6,ゾンビ,,basic_keyword_or_no_text,自分のターン終了時、このユニットの前後に2/2の屍騎_x0008_軍王ゾルデ・影を出す。
ドラゴンロード,6,ドラゴン,,existing_name_seen_needs_runtime_check,場に出ている間、このユニットを除くドラゴン系の味方ユニット全てを+1/+1。場に出ている間、自分の手札にあるドラゴン系ユニットカードの使用コスト-1。
覇海軍王ジャコラ,6,なし,召喚時/におうだち,existing_name_seen_needs_runtime_check,におうだち、召喚時：このターン中すべてのユニットが受ける戦闘ダメージが2倍になる
メガボーグ,6,なし,召喚時,v238_pass2_implemented_or_hooked,召喚時：全ての味方ユニットを行動済みにする。攻撃可能な味方ユニットの数分このユニットのコスト-1
ファントムシャドウ,7,ゾンビ,死亡時/におうだち,v237_pass1_implemented,におうだち、死亡時：におうだち2/4スケアフレイルをこのマスに出す
エメラルドーン,7,なし,シンクロ/におうだち/ねらい撃ち,v238_pass2_implemented_or_hooked,シンクロ：①ねらい撃ち、②におうだち、③+2/+2
まおうのかげ,7,なし,ステルス,basic_keyword_or_no_text,ステルス、絶好調、このユニットが絶好調状態なら攻撃力+3を得る
邪神官ハーゴン,6,魔王,死亡時,v238_pass2_implemented_or_hooked,死亡時：自分の手札にある魔王系のユニットをランダムに1体このマスに出す
悪の化身りゅうおう,6,魔王,召喚時/選択,v238_pass2_implemented_or_hooked,召喚時：次の相手のターン開始時世界の半分を得るかどうかの選択を相手に迫る
全てを滅ぼす者ゾーマ,7,魔王,貫通,existing_name_seen_needs_runtime_check,超貫通
ソードイド,7,ゾンビ,召喚時/死亡時/におうだち,v237_pass1_implemented,におうだち、召喚時&死亡時：味方リーダーのHPを3回復
れんごくちょう,6,なし,召喚時,v238_pass2_implemented_or_hooked,召喚時：自分の手札に魔王系カードがあるなら縦一列にいる全ての敵ユニットに4ダメージ
ミリオンゼニー,6,なし,死亡時/GET/BET,existing_name_seen_needs_runtime_check,自分のターン終了時にGET(1)。この効果は毎ターン発動する。BET：死亡時にGET(2)をこのユニットに付与する。このBET効果は重複しない。
サイクロプス,6,なし,召喚時/GET/BET/におうだち,v238_pass2_implemented_or_hooked,召喚時：GET(1) BET：におうだちを持つランダムな敵ユニット1体に4ダメージ
クレイジーボーナス,7,なし,召喚時,v238_pass2_implemented_or_hooked,召喚時:自分の場の縦一列に同じ攻撃力のユニットが3体いるならランダムなレジェンドレアのユニットカード3枚を手札に加え そのコストを揃えた攻撃力と同じ数分減らす
グレイトマムー,6,なし,れんけい,existing_name_seen_needs_runtime_check,れんけい：敵ユニット1体に5ダメージ
ケトス,7,なし,,basic_keyword_or_no_text,このユニットによる敵リーダーの攻撃で敵リーダーのHPが11になった場合この対戦に勝利する。
ウルノーガ&ウルナーガ,7,魔王,れんけい,existing_name_seen_needs_runtime_check,れんけい：前列に召喚した場合、正面にいるランダムな敵ユニット1体を消滅させる。後列に召喚した場合、攻撃力6以上の他ユニット全てを死亡させる。
デスバキューム,6,なし,,basic_keyword_or_no_text,お互いのリーダーのテンションの合計分手札にあるこのカードのコスト-1
エルギオス,7,魔王,召喚時/ねらい撃ち,existing_name_seen_needs_runtime_check,ねらい撃ち、召喚時：このユニットに4回さくせんを出す
ヘルチェイサー,6,ゾンビ,召喚時,v238_pass2_implemented_or_hooked,召喚時：味方リーダーのテンションを全て消費する。他の全てのユニットに消費したテンションの数分のダメージ
ヌーデビル,7,なし,選択,v238_pass2_implemented_or_hooked,選択：・攻撃力+4・正面にいる全ての敵ユニットに2ダメージ
からくりしょうぐん,6,なし,召喚時,v238_pass2_implemented_or_hooked,召喚時：味方リーダーが装備中の武器を+1/+1
アトラス,6,なし,攻撃時,existing_name_seen_needs_runtime_check,攻撃時：このターン中味方リーダーの攻撃力分攻撃力が上がる
ダークランサー,6,スライム,スキルブースト/貫通,v238_pass2_implemented_or_hooked,貫通を持つ他の全ての味方の攻撃力+1、スキルブースト:味方の攻撃力+1
牙王ゴースネル,6,なし,召喚時,v238_pass2_implemented_or_hooked,召喚時：味方リーダーの攻撃力が4以上ある場合正面にいる全てのユニットに4ダメージ。
大怨霊マアモン,7,ゾンビ,,basic_keyword_or_no_text,対戦中に死亡したゾンビ系の味方ユニットの数だけコスト-1
デビルアーマー,7,なし,召喚時,v238_pass2_implemented_or_hooked,召喚時：味方ヒーローがいる場合手札にあるランダムな武器を装備する
ムドー,6,魔王,,basic_keyword_or_no_text,敵ユニット1体を手札に戻し石化状態にする。そうしたと場合、相手のデッキの上から3番目に夢と現実の再会を置く
まかいファイター,6,ドラゴン,召喚時/GET/BET,existing_name_seen_needs_runtime_check,召喚時：GET(1)、BET：このターン中味方リーダーの攻撃力+1、このBETが4回発動する度まかいファイターを1体だす
アイラ,6,冒険者,召喚時/GET/BET,existing_name_seen_needs_runtime_check,召喚時：GET(2)。BET：ランダムな武器を味方リーダーに装備する。
ムチおとこ,6,なし,召喚時,v238_pass2_implemented_or_hooked,前列召喚時：自分の手札から武器カードを1枚選んで捨てる。そうした場合、カードを3枚引く。後列召喚時：自分のデッキからコスト3以下の武器カードを1枚引く
悪霊の神々アトラス,6,なし,死亡時/貫通,v238_pass2_implemented_or_hooked,貫通、貫通を持つ味方ユニットが攻撃した後攻撃力+1、死亡時：このユニットの攻撃力と同じ攻撃力を持つこんぼうを味方リーダーに装備する。
オリハルゴン,7,ドラゴン,,existing_name_seen_needs_runtime_check,自分のターン中味方リーダーは攻撃力+3を得る。前列にいる場合味方リーダーが受けるダメージ-2
ようじゅつし,6,なし,,existing_name_seen_needs_runtime_check,自分が特技を使う度ランダムな敵1体に2ダメージ
バズズ,6,なし,召喚時/ねらい撃ち,v237_pass1_implemented,ねらい撃ち、召喚時：敵の場に氷塊があるなら全ての敵ユニットを次のターン攻撃不能にする
ウインドマージ,6,ゾンビ,スキルブースト,v238_pass2_implemented_or_hooked,自分が特技を使う度ランダムな敵1体に1ダメージ、スキルブースト:コスト-1
バーバラ,6,冒険者,召喚時,existing_name_seen_needs_runtime_check,召喚時:残りMPを全て消費する。 全ての敵に消費したMPの数分ダメージを与える。
シャドーサタン,6,なし,,basic_keyword_or_no_text,魔法陣にいる場合自分のターン終了時全ての敵ユニットに1ダメージ
ダークキング,7,スライム,召喚時,v238_pass2_implemented_or_hooked,召喚時：このユニットを除くスライム系の味方ユニット全てを手札に戻す。 スライム系のユニットがいたマスに闇のクリスタルを出す。
アークマージ,6,なし,,existing_name_seen_needs_runtime_check,この対戦の間ヒーロースキルが発動した回数分攻撃力+1を得る。このユニットの攻撃力が5以上の場合さらに特技ダメージ+2を得る。
エビルマージ,6,なし,召喚時/スキルブースト,v238_pass2_implemented_or_hooked,召喚時：この対戦中味方リーダーの「紅蓮の火球」のダメージ+1、スキルブースト:攻撃力+1
クラーゴン,6,なし,BET,existing_name_seen_needs_runtime_check,BET：このターン中に未発動の効果からランダムに1つ発動する。①全ての敵に1ダメージ ②ランダムな敵1体に2ダメージ ③敵リーダーに3ダメージ。全て発動済みなら何も起こらない。
リーズレット,6,なし,召喚時,v238_pass2_implemented_or_hooked,召喚時：自分のデッキにメラ系の特技カードが無いなら敵ユニット1体を氷塊に変える
悪霊の神々バズズ,6,なし,召喚時/ねらい撃ち,v238_pass2_implemented_or_hooked,ねらい撃ち、召喚時：指定の敵マスに0/1の氷塊を1つ出す。敵の氷塊が死亡する度自分のデッキからメラ系以外の特技カードを1枚引く
ドルマドン,7,なし,,existing_name_seen_needs_runtime_check,敵1体に10ダメージ
竜将ドラゴンガイア,6,ドラゴン,召喚時,existing_name_seen_needs_runtime_check,召喚時：手札にコスト3以上の特技カードがあるなら縦一列にいる全ての敵ユニットに2ダメージ、それらのユニットを次のターン終了時まで攻撃不能にする
ダーティラビッツ,6,なし,,basic_keyword_or_no_text,攻撃対象が敵リーダーの場合攻撃力が2倍になる。
アークデーモン,7,なし,召喚時,v237_pass1_implemented,召喚時：前列にいる全ての敵ユニットに3ダメージ
ハッサン,6,冒険者,召喚時,v238_pass2_implemented_or_hooked,召喚時：前列に召喚した場合1マス前にいる敵ユニットに5ダメージ
モリー,6,冒険者,スキルブースト,v238_pass2_implemented_or_hooked,自分が特技を使う度味方リーダーのテンション+1 スキルブースト:+2/+2
ドンガラドン,6,なし,パワフルバッジ,v238_pass2_implemented_or_hooked,パワフルバッジ：スライム系のユニットカードを使う度味方リーダーのテンション+1
キラーデーモン,6,なし,召喚時/におうだち,v238_pass2_implemented_or_hooked,召喚時：味方ユニット1体を+1/+1した後におうだちを付与する
ベリアル,7,なし,召喚時,v237_pass1_implemented,召喚時：すべての敵ユニットに2ダメージ、倒したユニット数の2倍分味方リーダーのHPを回復
ほうおう,7,なし,スキルブースト,v238_pass2_implemented_or_hooked,他のすべての味方ユニットのHP+1、スキルブースト:味方ユニットのHP+1
カロン,6,なし,テンションリンク,v238_pass2_implemented_or_hooked,テンションリンク：対戦中に死亡したランダムな味方ユニットを手札に1枚加える
魔道士ウルノーガ,7,魔王,,basic_keyword_or_no_text,すべての敵は回復の効果で代わりにダメージを受ける。 このユニットが前列にいる場合敵ユニットが死亡する度カードを1枚引く
ドラゴンバゲージ,7,ドラゴン,におうだち,existing_name_seen_needs_runtime_check,におうだち、自分のターン終了時味方リーダーのテンション+1
グレイナル,7,ドラゴン,召喚時,existing_name_seen_needs_runtime_check,召喚時：竜戦士の装具を手札に加える。ドラゴン系の味方ユニットが攻撃して敵ユニットを倒す度味方リーダーのテンション+1
チャモロ,7,冒険者,召喚時/死亡時/スキルブースト,v238_pass2_implemented_or_hooked,召喚時：HPを3回復、死亡時：ゲントの杖を装備する、スキルブースト： コストー1
ウドラー,6,なし,死亡時/シンクロ/におうだち,v238_pass2_implemented_or_hooked,シンクロ:①攻撃力+1、②におうだち、③死亡時：この対戦中に死亡したコスト2以下のユニットを2体復活させる
マルチェロ,7,なし,召喚時/におうだち,v238_pass2_implemented_or_hooked,におうだち、召喚時：敵の後列中央を中心に十字型に4ダメージを与える
アクバー,7,魔王,,basic_keyword_or_no_text,他の味方ユニットが死亡する度そのユニットを復活させ「死亡する場合代わりに消滅する」を付与する
悪霊の神々ベリアル,7,なし,召喚時,v238_pass2_implemented_or_hooked,召喚時：「次のターン終了時まで受けるダメージ-1」を得る。さらに全ての敵ユニットに2ダメージ。死亡したユニットの数分HP+1
ガメゴンレジェンド,7,ドラゴン,召喚時/スキルブースト/におうだち,existing_name_seen_needs_runtime_check,におうだち、召喚時：ランダムな敵1体に1ダメージ。これを3回繰り返す。スキルブースト：繰り返す回数+1
タコメット,7,なし,召喚時/貫通,v238_pass2_implemented_or_hooked,貫通、召喚時：このカード以外の自分の手札が6枚以上ある場合タコメットを2体出す。
バロンジャッカル,6,なし,,basic_keyword_or_no_text,このカード以外の自分の手札が6枚以上ある場合コスト-2
マッスルウータン,6,なし,テンションリンク,v238_pass2_implemented_or_hooked,テンションリンク:前後にいる味方ユニットの攻撃力+2
かぶとこぞう,6,なし,召喚時/におうだち,v238_pass2_implemented_or_hooked,召喚時:地形マスに召喚された場合、におうだち2/2のはさみくわがたを2体出す
ダイヤモンドスライム,7,スライム,召喚時/メタルボディ/ハードメタルボディ,v238_pass2_implemented_or_hooked,ハードメタルボディ。召喚時：自分のデッキからメタルボディを持つユニットカードか武器カードを各コストから1枚ずつ手札に加える。
てっきゅうまじん,6,なし,,basic_keyword_or_no_text,自分の場と手札にいる冒険者の数だけコストが下がる
レジェンドホーン,7,なし,召喚時/シンクロ/におうだち,v238_pass2_implemented_or_hooked,シンクロ：①召喚時：味方リーダーのHPを6回復、②このユニットの召喚コスト-2、③におうだち
ジェリーマン,6,なし,召喚時,v238_pass2_implemented_or_hooked,召喚時：自分の手札にあるランダムなユニットカード1枚と同じユニットを2/2にして場に出す。それが冒険者カードなら代わりにコピーを場に出す。
まだらイチョウ,6,なし,BET,existing_name_seen_needs_runtime_check,BET：1/2のブラックタヌーを1体場に出す。このBETが3回発動する度に、このユニットを除く全ての味方ユニットを+1/+1する。カウントはターンを跨いで継続する。
プラチナキング,7,スライム,召喚時/メタルボディ/ハードメタルボディ,v238_pass2_implemented_or_hooked,メタルボディ、召喚時:1/2のメタルスライムを2体出す。味方が持つメタルボディはハードメタルボディに強化される。
スラリンガル,7,なし,選択/速攻/貫通,existing_name_seen_needs_runtime_check,貫通、選択:+1/+1と速攻とこのターン中「敵リーダーを攻撃できずダメージを受けない」を得る。・このターンの終了時攻撃力とHPが2倍になる
ダイス・ド・デビル,6,なし,,basic_keyword_or_no_text,占い：(1)1/1のスライムを出す、(2)4/4のホースデビルを出す
デュラハーン,7,ゾンビ,召喚時,v238_pass2_implemented_or_hooked,召喚時：自分のデッキからコスト3のユニットを1体出す
ジュリアンテ,7,なし,,existing_name_seen_needs_runtime_check,占い：(1)他の全ての味方ユニット+2/+2、(2)ランダムな敵3体を次のターン攻撃不能にする
わかめ王子,6,なし,召喚時,v238_pass2_implemented_or_hooked,召喚時：デッキの一番上のカードのコストが奇数なら対象に3ダメージ、偶数なら対象を+2/+2
マーニャ,6,冒険者,召喚時,existing_name_seen_needs_runtime_check,召喚時:デッキの1版上のカードのコストが4以上ならドラゴラムを使う。 4以下ならそのカードのコストを0にして手札に加える。
ダークデーブル,6,なし,におうだち,basic_keyword_or_no_text,におうだち、天啓の神域の効果によってデッキから手札にこのカードが加わった場合、4/4のヘルガーディアンを出す。
ダースドラゴン,7,ドラゴン,,existing_name_seen_needs_runtime_check,効果なし
あくまのカガミ,6,なし,召喚時/速攻,existing_name_seen_needs_runtime_check,召喚時：自分のデッキにある5コスト以下の冒険者と同じユニット1体ヲバに出しこのターン中速攻と「ターン終了時にこのユニットを自分のデッキに混ぜる」を付与する
にじくじゃく,6,なし,,basic_keyword_or_no_text,自分が偶数のコストの手札を使う度ランダムな敵1体に2ダメージ
キラーマシン2,6,なし,召喚時/2回攻撃,existing_name_seen_needs_runtime_check,2回攻撃、召喚時:このユニットにさくせんを出す。耐戦中に味方建物が3つ以上出ていたら、代わりに2回さくせんを出し、出たさくせんの効果全てを得る
ヘラクライザー,7,なし,におうだち,basic_keyword_or_no_text,におうだち、自分がデッキからカードを手札に加える度ランダムな敵1体に2ダメージ、占い：(1)カードを1枚引く、(2)味方リーダーのテンション+2
サイコマスター,6,なし,召喚時,v238_pass2_implemented_or_hooked,この対戦中に自分が使った占いカードの枚数分攻撃力+1、召喚時:このユニットの攻撃力が4以上あるなら敵1体に4ダメージ
ライノスキング,7,なし,におうだち,basic_keyword_or_no_text,におうだち
タタリ御前,6,ゾンビ,召喚時,v238_pass2_implemented_or_hooked,召喚時：前の相手ターンに味方リーダーを攻撃した敵ユニットをランダムに1体死亡させる
ドルマゲス,6,なし,召喚時,v238_pass2_implemented_or_hooked,召喚時：1/1の分身を2体出す 相手がドルマゲスか分身を攻撃や効果の対象にした場合その対象はランダムに選ばれる
ドン・モグーラ,7,なし,テンションリンク/スキルブースト/速攻,v238_pass2_implemented_or_hooked,テンションリンク：速攻 1/1 ターン終了時に死亡するモグラの子分を出す スキルブースト:攻撃力+1をモグラの子分は持つ
ホメロス,6,なし,召喚時,existing_name_seen_needs_runtime_check,召喚時:HPが2以下の敵ユニット1体を味方にする
デスストーカー,6,なし,,basic_keyword_or_no_text,自分のターン中味方ユニットがダメージを受けた場合ランダムな敵1体に2ダメージ
アスラ王,7,ゾンビ,召喚時,v238_pass2_implemented_or_hooked,召喚時：自分のデッキからコストが1番高いゾンビ系のユニットカードを手札に1枚加える。そのカードのコストを-5。
暗黒皇帝ガナサダイ,7,ゾンビ,パワフルバッジ,v238_pass2_implemented_or_hooked,パワフルバッジ：自分のターン終了時ゾンビ系の味方ユニットを+1/+1
魔女グレイツェル,6,なし,召喚時/スキルブースト,v238_pass2_implemented_or_hooked,おうえん、召喚時:ランダムな3体を次のターン終了時まで攻撃不能にする。スキルブースト:+1体
ヘルバオム,7,なし,召喚時,v238_pass2_implemented_or_hooked,召喚時：ランダムな敵ユニット1体を-2/-2する。これを2回繰り返す。
魔界からの侵攻,6,なし,,basic_keyword_or_no_text,ピサロナイトを6体出す
帝王の一閃,7,なし,,basic_keyword_or_no_text,全ての敵に4ダメージ
魔勇者アンルシア,6,なし,召喚時/GET/BET,v238_pass2_implemented_or_hooked,召喚時:GET(1)、BET:正面にいるランダムな敵ユニット1体を-3/-3
黄金兵長,7,なし,召喚時/攻撃時/GET/BET,existing_name_seen_needs_runtime_check,召喚時：GET(1)。攻撃時：敵リーダーに味方の場のピサロナイトの数と同じダメージ。BET：ピサロナイトを1体場に出す。
魔軍司令ホメロス,6,なし,れんけい,v238_pass2_implemented_or_hooked,れんけい:次のターン相手はユニットを前列に召喚できない。 自分のターン終了時後列にいる全ての敵ユニットと敵リーダーに3ダメージ
なげきの妖剣士オーレン,7,ゾンビ,召喚時/速攻,v238_pass2_implemented_or_hooked,召喚時:1/2のがいこつを0体出し速攻を付与する。対戦中に自分が使った本来のコストが3以上の特技カードの枚数分出す数+1
ワイバーンドッグ,7,ドラゴン,召喚時/れんけい,existing_name_seen_needs_runtime_check,召喚時：ダメージを受けている全ての敵ユニットに3ダメージ、れんけい：さらにダメージを受けていない全てのユニットに1ダメージ
ヒドラ,6,なし,速攻/貫通/2回攻撃,existing_name_seen_needs_runtime_check,このユニットは子の耐戦中に自分の手札から捨てたカードの枚数により以下の効果を得る。2枚以上:貫通、4枚以上:速攻、6枚以上:2回攻撃
アフロのドン・モグーラ,6,なし,召喚時/速攻,v238_pass2_implemented_or_hooked,召喚時：カードを1枚引いた後、自分の手札から1枚選んで捨てる。自分の手札からカードを捨てる度ターン終了時に死亡する速攻3/1の子分を1体出す
薔薇子ジャックポッター,6,なし,召喚時,v238_pass2_implemented_or_hooked,召喚時：手札を2枚捨てる。そうした場合ランダムなレジェンドレアカード0〜4枚を以下の確率で手札に加える。0〜4枚 各20%
ドラゴンブッシュ,6,なし,召喚時,existing_name_seen_needs_runtime_check,特技ダメージ+1。召喚時：自分の場か手札に攻撃力4以上の他のドラゴン系がいるなら特技ダメージ+1を得る。
