no,id,name,currentTribe,cardType,cost,attack,hp,text,imageUrl,officialDbPage,officialDbSearchQuery,manualAnswer
57,card_13bfc137,ザイル,なし,ユニット,2,3,2,死亡時&手札から捨てた時:はるかぜのフルートを1枚手札に加える,,,ザイル ドラゴンクエストライバルズ 攻略データベース,
58,card_37c6d619,ジャイアントバット,なし,ユニット,2,2,2,召喚時：このユニットにさくせんを出す。自分のターン中このユニットが戦闘ダメージを与えた敵を次のターン終了時まで攻撃不能にする,,,ジャイアントバット ドラゴンクエストライバルズ 攻略データベース,
59,card_39de0670,ジュエルン,なし,ユニット,2,1,1,召喚時：自分のデッキからコスト3以下の建物カードを1枚引く。そのカードのコストを-1,,,ジュエルン ドラゴンクエストライバルズ 攻略データベース,
60,card_13e70e19,スキッパー,なし,ユニット,2,2,2,テンションリンク：デッキの一番上のカードのコストが奇数ならそのカードを手札に加える。,,,スキッパー ドラゴンクエストライバルズ 攻略データベース,
61,card_09280fcd,スノーベビー,なし,ユニット,2,3,2,召喚時：ダメージを受けている敵ユニット1体に2ダメージ,,,スノーベビー ドラゴンクエストライバルズ 攻略データベース,
62,card_887207c9,スピンサタン,なし,ユニット,2,3,2,召喚時:自分が次に使用する占いカードは発動する効果を選べる 味方リーダーが必中モードの場合手札のこのカードのコスト-1,,,スピンサタン ドラゴンクエストライバルズ 攻略データベース,
63,card_6d736276,ズッキーニャ,なし,ユニット,2,2,2,召喚時:召喚されたマスの地形を刃の紋章に変える。この効果で地形の上書きはできない。,,,ズッキーニャ ドラゴンクエストライバルズ 攻略データベース,
64,card_abd6c61a,タイガーランス,なし,ユニット,2,3,3,召喚時：指定の敵マスに1/1のスライムを1体出す,,,タイガーランス ドラゴンクエストライバルズ 攻略データベース,
65,card_e16f1bd0,タイプG,なし,ユニット,2,1,1,スキルブースト:+1/+1、自身の攻撃力にあわせて場にいる間、以下の効果を得る。 攻撃力3以上:貫通、攻撃力5以上:ねらい撃ち、攻撃力10以上:2回攻撃,,,タイプG ドラゴンクエストライバルズ 攻略データベース,
66,card_3091e672,ダックカイト,なし,ユニット,2,3,4,召喚時:召喚されたマスの地形をバリア床に変える。 この効果は地形の上書きはできない。,,,ダックカイト ドラゴンクエストライバルズ 攻略データベース,
67,card_9f800622,ダンスニードル,なし,ユニット,2,1,4,貫通、貫通を持つ他の全ての味方ユニットの攻撃力+1,,,ダンスニードル ドラゴンクエストライバルズ 攻略データベース,
68,card_5fe00f1a,ダークプラネット,なし,ユニット,2,3,2,選択：・ダンジョンではない敵建物１つの耐久値を2にする。・ダンジョンではない敵建物1つの耐久値を-2,,,ダークプラネット ドラゴンクエストライバルズ 攻略データベース,
69,card_eb476849,ダークホビット,なし,ユニット,2,2,3,熟練度(0)、(3)におうだち+1/+1,,,ダークホビット ドラゴンクエストライバルズ 攻略データベース,
70,card_9a32c89a,テンツク,なし,ユニット,2,2,3,死亡時:死亡したマスの地形を祝福の聖域に変える。 この効果で地形の上書きはできない。,,,テンツク ドラゴンクエストライバルズ 攻略データベース,
71,card_0340dccb,デスフラッター,なし,ユニット,2,1,2,召喚時：自分のデッキの上からカード4枚を見る。ユニットカード以外のカードを1枚選び、それを引く。残りをデッキの下に戻す,,,デスフラッター ドラゴンクエストライバルズ 攻略データベース,
72,card_09ae440c,デビルパピヨン,なし,ユニット,2,2,2,召喚時：GET(1)。BET：ランダムな敵ユニット1体を毒にする,,,デビルパピヨン ドラゴンクエストライバルズ 攻略データベース,
73,card_c01548f9,トンネラー,なし,ユニット,2,1,3,におうだち、れんけい：+1/+1,,,トンネラー ドラゴンクエストライバルズ 攻略データベース,
74,card_f4f27478,ドロヌーバ,なし,ユニット,2,2,3,ステルス,,,ドロヌーバ ドラゴンクエストライバルズ 攻略データベース,
75,card_993f78a7,ナスビナーラ,なし,ユニット,2,2,3,召喚時：ユニット１体を縦1列の中央に移動させる,,,ナスビナーラ ドラゴンクエストライバルズ 攻略データベース,
76,card_d329867b,パペットこぞう,なし,ユニット,2,3,2,占い：(1)味方リーダーのテンション-1、(2)+1/+1を得る,,,パペットこぞう ドラゴンクエストライバルズ 攻略データベース,
77,card_1c2707b7,ヒポせんし,なし,ユニット,2,2,3,敵リーダーのテンションが上がる度攻撃力+1,,,ヒポせんし ドラゴンクエストライバルズ 攻略データベース,
78,card_9eef3ae2,ヒートギズモ,なし,ユニット,2,2,2,前列召喚時：正面にいる敵ユニットに2ダメージ、後列召喚時：味方リーダーのテンション+1,,,ヒートギズモ ドラゴンクエストライバルズ 攻略データベース,
79,card_ffd715bf,ビッグスロース,なし,ユニット,2,1,1,自分がコスト1以下の手札を使う度+1/+1,,,ビッグスロース ドラゴンクエストライバルズ 攻略データベース,
80,card_4c928e44,ビッグハンマー,なし,ユニット,2,2,3,召喚時：自分のデッキから建物カードを1枚手札に加える。その後自分の手札から1枚選んで捨てる,,,ビッグハンマー ドラゴンクエストライバルズ 攻略データベース,
81,card_13c2373a,ピクシー,なし,ユニット,2,1,4,ねらい撃ち,,,ピクシー ドラゴンクエストライバルズ 攻略データベース,
82,token_pisaro_knight,ピサロナイト,なし,ユニット,2,3,2,,,,ピサロナイト ドラゴンクエストライバルズ 攻略データベース,
83,card_3745f350,ピンクモーモン,なし,ユニット,2,2,3,このユニットの攻撃で与えたダメージ分味方リーダーのHPを回復する,,,ピンクモーモン ドラゴンクエストライバルズ 攻略データベース,
84,card_579c3018,フレイム,なし,ユニット,2,1,1,前列にいる場合攻撃力+3,,,フレイム ドラゴンクエストライバルズ 攻略データベース,
85,card_3697e999,ブチュチュンパ,なし,ユニット,2,3,2,召喚時：全ての敵ユニットは絶好調状態ではなくなる。,,,ブチュチュンパ ドラゴンクエストライバルズ 攻略データベース,
86,card_fa60bb4c,ブラックマンティス,なし,ユニット,2,1,4,におうだち、召喚時：敵ユニット1体の攻撃力-1,,,ブラックマンティス ドラゴンクエストライバルズ 攻略データベース,
87,card_d7077797,ブラッドソード,なし,ユニット,2,2,2,死亡時：味方ヒーローがいる場合自分のデッキからコスト2以下の武器を装備する。,,,ブラッドソード ドラゴンクエストライバルズ 攻略データベース,
88,card_af0589df,プオーン,なし,ユニット,2,3,2,召喚時：自分のデッキからコストが最も高い武闘家のカードを手札に1枚加える,,,プオーン ドラゴンクエストライバルズ 攻略データベース,
89,card_cb17a7ac,プチヒーロー,なし,ユニット,2,2,2,シンクロ:①HP+1、②攻撃力+1、③HP+1,,,プチヒーロー ドラゴンクエストライバルズ 攻略データベース,
90,card_b0bcc369,プテラノドン,なし,ユニット,2,2,1,死亡時：自分のデッキからコストが4以下の冒険者カードをランダムに1枚手札に加える,,,プテラノドン ドラゴンクエストライバルズ 攻略データベース,
91,card_bd1c41e5,プラズママウス,なし,ユニット,2,3,2,味方ヒーローがいる場合速攻を得る,,,プラズママウス ドラゴンクエストライバルズ 攻略データベース,
92,card_d00c0ca1,プークプック,なし,ユニット,2,1,3,前後にいる味方ユニットの攻撃力+1,,,プークプック ドラゴンクエストライバルズ 攻略データベース,
93,card_7d611f88,ヘルコンドル,なし,ユニット,2,3,1,ねらい撃ち,,,ヘルコンドル ドラゴンクエストライバルズ 攻略データベース,
94,card_81da80ae,ヘルホーネット,なし,ユニット,2,2,2,召喚時：味方ユニット1体の攻撃力+1,,,ヘルホーネット ドラゴンクエストライバルズ 攻略データベース,
95,card_b4cd37c2,ベビーサタン,なし,ユニット,2,3,2,テンションリンク：自分と相手の最大MPが1増える,,,ベビーサタン ドラゴンクエストライバルズ 攻略データベース,
96,card_f6858889,ベビーパンサー,なし,ユニット,2,2,2,おうえん,,,ベビーパンサー ドラゴンクエストライバルズ 攻略データベース,
97,card_e70aa055,ベロニャーゴ,なし,ユニット,2,1,3,れんけい：HP+1、味方リーダーが攻撃した後1/1のプリスニャンを1体出す,,,ベロニャーゴ ドラゴンクエストライバルズ 攻略データベース,
98,card_1ffc4f90,ポンポコだぬき,なし,ユニット,2,3,2,死亡時：味方リーダーのテンション+1,,,ポンポコだぬき ドラゴンクエストライバルズ 攻略データベース,
99,card_d625ddf3,マギール,なし,ユニット,2,2,3,味方建物があるなら手札のこのカードのコスト-1,,,マギール ドラゴンクエストライバルズ 攻略データベース,
100,card_352061b3,マクロベータ,なし,ユニット,2,2,3,れんけい:縦1列にいる全てのユニットに1ダメージ,,,マクロベータ ドラゴンクエストライバルズ 攻略データベース,
101,card_8c221f8f,マジックフライ,なし,ユニット,2,1,1,死亡時：自分のデッキから特技カードを1枚引く,,,マジックフライ ドラゴンクエストライバルズ 攻略データベース,
102,card_23ad09be,マタンゴ,なし,ユニット,2,2,3,召喚時：敵リーダーが装備中のコスト4以下の武器を破壊する。,,,マタンゴ ドラゴンクエストライバルズ 攻略データベース,
103,card_d94ba760,マッドプラント,なし,ユニット,2,2,3,召喚時：味方ユニット1体を次の相手のターン中ステルスにする,,,マッドプラント ドラゴンクエストライバルズ 攻略データベース,
104,card_011a7b81,マドルーパー,なし,ユニット,2,2,2,このユニットは戦闘ダメージのみ受ける,,,マドルーパー ドラゴンクエストライバルズ 攻略データベース,
105,card_e58db4b2,マヒャドフライ,なし,ユニット,2,1,4,敵リーダーにダメージを与えた時相手の手札にうまのふんを加える。,,,マヒャドフライ ドラゴンクエストライバルズ 攻略データベース,
106,card_3c6c9165,マーブルン,なし,ユニット,2,2,1,召喚時：指定の味方マスに1/1のプリズニャンを1体出す,,,マーブルン ドラゴンクエストライバルズ 攻略データベース,
107,card_f873e56f,ミステリドール,なし,ユニット,2,2,3,召喚時:前後のマスにこのユニットがいる地形をコピーする。 この効果で地形の上書きはできない。,,,ミステリドール ドラゴンクエストライバルズ 攻略データベース,
108,card_87f4d7ac,メイジももんじゃ,なし,ユニット,2,1,2,召喚時：味方ヒーローがいる場合ヒャドを手札に加える,,,メイジももんじゃ ドラゴンクエストライバルズ 攻略データベース,
109,card_f0a98fe1,メイジキメラ,なし,ユニット,2,2,3,自分が特技を使う度攻撃力+1,,,メイジキメラ ドラゴンクエストライバルズ 攻略データベース,
110,card_34aa0b9b,メソコボルト,なし,ユニット,2,2,3,召喚時：ユニット1体ににおうだちを付与する,,,メソコボルト ドラゴンクエストライバルズ 攻略データベース,
111,card_59fadad6,メタッピー,なし,ユニット,2,2,3,テンションリンク：このターン中味方リーダーが受けるダメージ-3,,,メタッピー ドラゴンクエストライバルズ 攻略データベース,
112,card_503c148f,メドーサボール,なし,ユニット,2,2,2,味方ヒーローのヒーロースキルが発動した後自分のデッキからシンクロを持つカードを1枚引く,,,メドーサボール ドラゴンクエストライバルズ 攻略データベース,
113,card_2b331264,メーダ,なし,ユニット,2,3,2,前列にいる場合両プレイヤーの特技カードのコスト+1,,,メーダ ドラゴンクエストライバルズ 攻略データベース,
114,card_30055c41,モコフル,なし,ユニット,2,2,3,召喚時:味方ユニット1体を封印する,,,モコフル ドラゴンクエストライバルズ 攻略データベース,
115,card_3c795f19,モコモコじゅう,なし,ユニット,2,1,3,速攻,,,モコモコじゅう ドラゴンクエストライバルズ 攻略データベース,
116,card_90549185,ラーミア,なし,ユニット,2,0,1,召喚時:6つのオーブをデッキに混ぜ復活の準備に入る。 自分の場にオーブが全て揃った時ラーミアは復活しこの対戦に勝利する。,,,ラーミア ドラゴンクエストライバルズ 攻略データベース,
117,card_ac3c90f7,リカントマムル,なし,ユニット,2,2,1,召喚時&死亡時：武術カード1枚を手札に加える,,,リカントマムル ドラゴンクエストライバルズ 攻略データベース,
118,card_321ac34f,リップス,なし,ユニット,2,2,2,敵リーダーにダメージを与えると敵リーダーのテンション-1,,,リップス ドラゴンクエストライバルズ 攻略データベース,
119,card_e3e4c05d,卑劣などくやずきん,なし,ユニット,2,3,2,召喚時：敵1体に1ダメージ。対象が毒なら3ダメージ,,,卑劣などくやずきん ドラゴンクエストライバルズ 攻略データベース,
120,card_0f004dd9,変貌のくものきょじん,なし,ユニット,2,3,2,召喚時：味方ユニット1体をランダムなコストが1高いランダムなユニットに変身させる,,,変貌のくものきょじん ドラゴンクエストライバルズ 攻略データベース,
121,card_640b6bfb,天啓のエビルドライブ,なし,ユニット,2,1,3,召喚時:自分のデッキの一番上のカードのコストが偶数ならそのカードを引き、その後自分の手札から1枚選び自分のデッキに混ぜこのユニットの攻撃力+3,,,天啓のエビルドライブ ドラゴンクエストライバルズ 攻略データベース,
122,card_b1b3f587,救援のドラキー,なし,ユニット,2,3,2,選択：・2/1のこんぼう1枚を手札に加える。・このターン中味方リーダーが受けるダメージ-3,,,救援のドラキー ドラゴンクエストライバルズ 攻略データベース,
123,card_0bfca8a1,歌姫のマポレーナ,なし,ユニット,2,2,3,れんけい:次に場に出る味方ユニット1体を+1/+1,,,歌姫のマポレーナ ドラゴンクエストライバルズ 攻略データベース,
124,card_8776f6c2,潮風のディーバ,なし,ユニット,2,2,2,他の全ての味方ユニットの攻撃力+1,,,潮風のディーバ ドラゴンクエストライバルズ 攻略データベース,
125,card_7fae1780,あやしいかげ,なし,ユニット,3,4,2,ステルス,,,あやしいかげ ドラゴンクエストライバルズ 攻略データベース,
126,card_cd19e6cb,あらくれ,なし,ユニット,3,3,1,速攻,,,あらくれ ドラゴンクエストライバルズ 攻略データベース,
127,card_9ba4ca11,いしにんぎょう,なし,ユニット,3,3,3,前列召喚時：ユニット1体のHP+2、後列召喚時:ユニット1体の攻撃力をHPと同じ値にする,,,いしにんぎょう ドラゴンクエストライバルズ 攻略データベース,
128,card_65ef27dd,いどまじん,なし,ユニット,3,1,5,におうだち、相手のターン中このユニットがダメージを受ける度、ターン終了時までステルスを得る。召喚時：対戦中に味方建物が3つ以上出ていたら+2/+2,,,いどまじん ドラゴンクエストライバルズ 攻略データベース,
129,card_6772ad3c,いなずまビリー,なし,ユニット,3,1,3,召喚時：このユニットの攻撃力とにおうだちを持つ敵ユニット1体を死亡させる。スキルブースト:攻撃力+1,,,いなずまビリー ドラゴンクエストライバルズ 攻略データベース,
130,card_f794442a,うずしおキング,なし,ユニット,3,2,5,におうだち。れんけい：自分の山札の上から4枚を見て、れんけいを持つカードを1枚選び引く。,,,うずしおキング ドラゴンクエストライバルズ 攻略データベース,
131,card_d945e36b,おおねずみ,なし,ユニット,3,2,2,死亡時：1/1のやまねずみを2体出す。対戦中に味方建物が3つ以上出ていたら代わりに2/2のやまねずみを2体出す,,,おおねずみ ドラゴンクエストライバルズ 攻略データベース,
132,card_237d6b84,おにこぞう,なし,ユニット,3,2,2,自分のターン開始時このユニットが前列にいる場合7/7おにこんぼうに変身する,,,おにこぞう ドラゴンクエストライバルズ 攻略データベース,
133,card_02b71123,おばけねずみ,なし,ユニット,3,1,3,自分のターン終了時1/1のやまねずみを1体出す,,,おばけねずみ ドラゴンクエストライバルズ 攻略データベース,
134,card_38ebc250,かいぞくウーパー,なし,ユニット,3,2,3,召喚時&手札から捨てた時：カードを1枚引く,,,かいぞくウーパー ドラゴンクエストライバルズ 攻略データベース,
135,card_0baef237,かっちゅうアリ,なし,ユニット,3,1,4,BET：1ターンに1回のみ、攻撃力+1/HP+1。自分のターン終了時にGET(1)。このGETは1度だけ発動する。,,,かっちゅうアリ ドラゴンクエストライバルズ 攻略データベース,
136,card_789e3a72,からくりだいみょう,なし,ユニット,3,4,2,召喚時：味方ユニット1体をこのユニットの前後に移動させる,,,からくりだいみょう ドラゴンクエストライバルズ 攻略データベース,
137,card_4b221727,からくりエッグ,なし,ユニット,3,3,3,パワフルバッジ：メタルボディもしくはハードメタルボディを持つ味方ユニットと武器の攻撃力+1,,,からくりエッグ ドラゴンクエストライバルズ 攻略データベース,
138,card_3dbf85fa,きりかぶこぞう,なし,ユニット,3,1,1,,,,きりかぶこぞう ドラゴンクエストライバルズ 攻略データベース,
139,card_6163d7ef,げんじゅつし,なし,ユニット,3,3,3,特技ダメージ+1,,,げんじゅつし ドラゴンクエストライバルズ 攻略データベース,
140,card_0ecc8073,ごうけつぐま,なし,ユニット,3,2,4,絶好調、このユニットが絶好調状態なら攻撃力+2と「敵リーダーを攻撃できない」を得る,,,ごうけつぐま ドラゴンクエストライバルズ 攻略データベース,
141,card_1fd03920,さそりばち,なし,ユニット,3,1,1,速攻、自分がコスト1以下の手札を使う度このターン中攻撃力+1,,,さそりばち ドラゴンクエストライバルズ 攻略データベース,
142,card_cf9a2c0e,さまようたましい,なし,ユニット,3,1,4,攻撃時：このターン中攻撃力+3,,,さまようたましい ドラゴンクエストライバルズ 攻略データベース,
143,card_390c2e74,じんめんガエル,なし,ユニット,3,0,1,後列にいる場合攻撃力+5,,,じんめんガエル ドラゴンクエストライバルズ 攻略データベース,
144,card_f9180cb7,たまねぎマン,なし,ユニット,3,2,4,占い：①ユニット1体の攻撃力を2にする②：ユニット1体のHPを2にする,,,たまねぎマン ドラゴンクエストライバルズ 攻略データベース,
145,card_1a59d46e,だいおうイカ,なし,ユニット,3,3,2,死亡時:GET(2),,,だいおうイカ ドラゴンクエストライバルズ 攻略データベース,
146,card_0ee31dd0,だいおうキッズ,なし,ユニット,3,4,3,召喚時：次のターン相手はユニットを後列に召喚できない。,,,だいおうキッズ ドラゴンクエストライバルズ 攻略データベース,
